student_id,final_score,max_points,submitted_at,run_id
PY102001000,1,1,2026-02-21T17:12:09-06:00,22266194066
PY102001012,1,1,2026-02-22T08:52:13-06:00,22279369229
PY102001022,1,1,2026-02-22T08:52:15-06:00,22279369174
PY102001030,1,1,2026-02-22T09:35:28-06:00,22280060451
PY102001012,1,1,2026-02-22T09:54:47-06:00,22280361520
PY102001022,1,1,2026-02-22T09:54:44-06:00,22280360542
PY102001030,1,1,2026-02-22T09:54:42-06:00,22280360033
PY102001012,1,1,2026-02-22T10:03:38-06:00,22280504223
PY102001022,1,1,2026-02-22T10:03:35-06:00,22280503807
PY102001012,1,1,2026-02-22T10:07:15-06:00,22280567532
PY102001022,1,1,2026-02-22T10:07:13-06:00,22280566656
PY102001043,1,1,2026-02-26T11:01:28-06:00,22452477864
PY102001008,1,1,2026-02-26T09:56:09-06:00,22449920678
PY102001008,1,1,2026-02-26T09:53:57-06:00,22449829397
PY102001018,1,1,2026-02-26T09:44:03-06:00,22449424829
PY102001003,1,1,2026-02-26T08:38:33-06:00,22446807479
PY102001009,1,1,2026-02-26T05:34:54-06:00,22440322451
PY102001024,1,1,2026-02-26T05:05:01-06:00,22439320588
PY102001039,1,1,2026-02-26T05:04:27-06:00,22439302795
PY102001014,1,1,2026-02-26T00:34:30-06:00,22430813132
PY102001014,1,1,2026-02-26T00:28:10-06:00,22430650075
PY102001037,1,1,2026-02-25T23:22:42-06:00,22429067947
PY102001025,1,1,2026-02-25T19:46:25-06:00,22424250697
PY102001033,1,1,2026-02-25T13:11:37-06:00,22411858944
PY102001010,1,1,2026-02-25T12:03:46-06:00,22409457613
PY102001044,1,1,2026-02-25T11:06:38-06:00,22407438714
PY102001041,1,1,2026-02-25T09:39:10-06:00,22404016646
PY102001013,1,1,2026-02-25T07:51:49-06:00,22399796803
PY102001023,1,1,2026-02-25T07:08:21-06:00,22398243170
PY102001035,1,1,2026-02-25T01:41:11-06:00,22387106356
PY102001004,1,1,2026-02-24T10:48:59-06:00,22360844997
PY102001020,1,1,2026-02-24T10:19:33-06:00,22359695550
PY102001027,1,1,2026-02-24T05:06:28-06:00,22348138923
PY102001007,1,1,2026-02-23T22:32:17-06:00,22336723697
PY102001036,1,1,2026-02-23T10:45:14-06:00,22315726164
PY102001021,1,1,2026-02-23T08:01:46-06:00,22309357642
PY102001034,1,1,2026-02-23T02:31:32-06:00,22298391966
PY102001002,1,1,2026-02-23T01:54:58-06:00,22297386535
PY102001015,1,1,2026-02-22T21:36:22-06:00,22292003324
PY102001029,1,1,2026-02-22T11:21:49-06:00,22281745588
PY102001006,1,1,2026-02-22T10:16:53-06:00,22280723115
PY102001012,1,1,2026-02-22T10:10:08-06:00,22280613500
